NAME,measure,asdr
Albania,asdr,314.035043438923
Andorra,asdr,105.711854818844
Austria,asdr,150.564941614017
Belarus,asdr,463.107779881346
Belgium,asdr,118.647223781711
Bosnia Herzegovina,asdr,343.546750510542
Bulgaria,asdr,541.082698883589
Croatia,asdr,265.847197108373
Cyprus,asdr,190.269410028185
Czech Republic,asdr,232.226081052785
Denmark,asdr,118.784571822305
Estonia,asdr,270.559976589446
Finland,asdr,173.807709881946
France,asdr,91.414881908251
Germany,asdr,159.359175138235
Greece,asdr,186.768306795689
Hungary,asdr,301.616214600513
Ireland,asdr,132.773353574453
Italy,asdr,126.092644681652
Latvia,asdr,356.837590811068
Lithuania,asdr,328.832777455059
Luxembourg,asdr,115.986863509078
Malta,asdr,146.743685308969
Moldova,asdr,404.955078971284
Montenegro,asdr,435.515495480756
Netherlands,asdr,113.010104668773
Macedonia,asdr,568.703680668081
Norway,asdr,111.480636334045
Poland,asdr,235.587738957278
Portugal,asdr,127.891035290789
Romania,asdr,379.626398292543
Russia,asdr,432.918638340803
Serbia,asdr,448.836359404402
Slovakia,asdr,298.900761044317
Slovenia,asdr,151.143196210781
Spain,asdr,106.783556904397
Sweden,asdr,138.591683940834
Switzerland,asdr,107.063921857721
Ukraine,asdr,591.006239492096
United Kingdom,asdr,132.375312468768
Turkey,asdr,217.45921060837
Iceland,asdr,109.1
Svalbard,asdr,111.5
Albania,cost_per_head,
Andorra,cost_per_head,
Austria,cost_per_head,213.476928
Belarus,cost_per_head,
Belgium,cost_per_head,156.840192
Bosnia Herzegovina,cost_per_head,
Bulgaria,cost_per_head,34.853376
Croatia,cost_per_head,41.388384
Cyprus,cost_per_head,68.98064
Czech Republic,cost_per_head,
Denmark,cost_per_head,123.43904
Estonia,cost_per_head,98.02512
Finland,cost_per_head,265.03088
France,cost_per_head,166.279648
Germany,cost_per_head,253.413088
Greece,cost_per_head,129.974048
Hungary,cost_per_head,111.095136
Ireland,cost_per_head,134.33072
Italy,cost_per_head,187.336896
Latvia,cost_per_head,47.923392
Lithuania,cost_per_head,56.636736
Luxembourg,cost_per_head,209.120256
Malta,cost_per_head,80.598432
Moldova,cost_per_head,
Montenegro,cost_per_head,
Netherlands,cost_per_head,237.438624
Macedonia,cost_per_head,
Norway,cost_per_head,
Poland,cost_per_head,83.50288
Portugal,cost_per_head,82.050656
Romania,cost_per_head,46.471168
Russia,cost_per_head,
Serbia,cost_per_head,
Slovakia,cost_per_head,87.859552
Slovenia,cost_per_head,87.13344
Spain,cost_per_head,144.496288
Sweden,cost_per_head,124.165152
Switzerland,cost_per_head,
Ukraine,cost_per_head,
United Kingdom,cost_per_head,137.96128
Turkey,cost_per_head,
Iceland,cost_per_head,
Svalbard,cost_per_head,
