year,proc,cabg
1977,CABG,2297
1978,CABG,2653
1979,CABG,2918
1980,CABG,4057
1981,CABG,5130
1982,CABG,6008
1983,CABG,8332
1984,CABG,9433
1985,CABG,10667
1986,CABG,10767
1987,CABG,11521
1988,CABG,11113
1989,CABG,12648
1990,CABG,14431
1991,CABG,15659
1992,CABG,19241
1993,CABG,21031
1994,CABG,22056
1995,CABG,22475
1996,CABG,22160
1997,CABG,25639
1998,CABG,25083
1999,CABG,24733
2000,CABG,25127
2001,CABG,24663
2002,CABG,25277
2003,CABG,25461
2004,CABG,25160
2005,CABG,23412
2006,CABG,20941
2007,CABG,22385
2008,CABG,21123
2009,CABG,19245
2010,CABG,18013
2011,CABG,17778
2012,CABG,17142
2013,CABG,17630
2014,CABG,16958
2015,CABG,16166
2016,CABG,15022
2017,CABG,14731
2018,CABG,14187
1977,PCI,
1978,PCI,
1979,PCI,
1980,PCI,
1981,PCI,
1982,PCI,
1983,PCI,
1984,PCI,
1985,PCI,
1986,PCI,
1987,PCI,
1988,PCI,
1989,PCI,
1990,PCI,
1991,PCI,9933
1992,PCI,11575
1993,PCI,12937
1994,PCI,14624
1995,PCI,17344
1996,PCI,20511
1997,PCI,22902
1998,PCI,24899
1999,PCI,28133
2000,PCI,33256
2001,PCI,38992
2002,PCI,44913
2003,PCI,53261
2004,PCI,62780
2005,PCI,70142
2006,PCI,73692
2007,PCI,77373
2008,PCI,80331
2009,PCI,83130
2010,PCI,87676
2011,PCI,88692
2012,PCI,92445
2013,PCI,92589
2014,PCI,96143
2015,PCI,97376
2016,PCI,100483
2017,PCI,102258
2018,PCI,100294
,AVR,
