nation,year,year_adjust,Digoxin and other positive inotropic drugs,Diuretics,Anti-arrhythmic drugs,Beta-adrenoreceptor blocking drugs,Antihypertensive and heart failure drugs,"Nitrates, calcium blockers & other antianginal drugs",Anticoagulants and protamine,Antiplatelet drugs,Anti-fibrinolytic drugs and haemostatics,Lipid-lowering drugs,Statins (subset of lipid lowering drugs)
England,2006,2006,4125.71,37581.84,1265.3169999999993,27378.03,47741.746999999974,34707.335000000014,6789.847999999999,32778.904,326.826,42097.751,39800.609
England,2007,2007,4140.757,37354.653,1247.261,26809.638,53634.123,37213.525,7308.81,35382.419,352.323,47411.666,44575.971
England,2008,2008,4148.8,37536.1,1226.2,27634.1,57822.5,39100.1,7991.2,38124,357.6,52189.5,48716.984
England,2009,2009,4119,37511,1188,28529,60838,40575,8546,39107,363,56452,52562.402
England,2010,2010,4088,37687,1174,29686,63571,42043,9157,38182,373,59550,55313.324
England,2011,2011,4006,37563,1156,30924,65449,43086,9773,38351,392,61649,57454.848
England,2012,2012,3900,37258,1129,32355,67184,44675,10723,38603,396,64399,60510.646
England,2013,2013,3769.881,36650.249,1107.243,33597.44299999999,68651.85100000005,45868.23199999999,11905.515000000001,38661.309,392.9549999999999,66795.43699999999,63150.628
England,2014,2014,3634,36208,1088,34860,70072,46992,13173,38444,408,68437,65032.051
England,2015,2015,3460,35327,1061,35948,70774,47812,14647,37312,416,69731,66477.755
England,2016,2016,3297.4970000000003,34508.97000000002,1047.5739999999998,37038.28599999999,71453.31699999997,48740.261999999966,15937.792000000001,36297.18200000001,408.86499999999995,70957.11099999999,67772.956
England,2017,2017,3147.636,33353.505,1009.29,37816.701,71531.003,49365.164,16999.802,35082.373,402.151,72612.423,69435.839
England,2018,2018,3025.087,32353.379,987.196,38617.728,72128.23719999999,50201.34909999999,17991.505199999996,34139.8431,414.195,74289.246,71106.516
England,2019,2019,2906.664,31572.954,971.117,39563.948,72985.74,51431.324,18871.027,33346.371,437.662,76044.298,72823.265
Wales,2006,2006,356.616,3090.966,93.938,2110.414,3774.003,2891.515,611.722,2716.355,24.439,3626.038,
Wales,2007,2007,336.941,3027.611,87.248,2070.777,4124.34,3031.506,649.778,2846.16,28.235,3984.704,
Wales,2008,2008,319.184,3000.448,81.146,2116.222,4402.495,3134.718,689.277,3010.893,29.875,4297.272,
Wales,2009,2009,306.943,2978.59,74.591,2164.731,4600.935,3204.586,722.675,3045.419,30.087,4561.957,
Wales,2010,2010,295.875,2970.531,68.295,2236.746,4781.167,3262.652,764.047,2933.186,30.727,4693.213,
Wales,2011,2011,283.792,2960.009,64.077,2322.227,4920.129,3314.414,808.113,2904.815,33.06,4787.763,
Wales,2012,2012,273.236,2939.695,62.076,2424.147,5063.176,3389.669,873.615,2889.62,33.54,4955.99,
Wales,2013,2013,260,2897,61,2505,5173,3438,944,2860,33,5076,
Wales,2014,2014,249,2866,61,2584,5290,3489,1030,2816,34,5150,
Wales,2015,2015,235,2782,60,2643,5324,3506,1125,2696,34,5129,
Wales,2016,2016,224.337,2704.27,59.21,2691.396,5359.647,3538.346,1195.859,2587.18,33.293,5112.39,
Wales,2017,2017,215.436,2617.818,58.105,2736.463,5364.812,3544.192,1240.752,2481.023,33.077,5140.285,
Wales,2018,2018,203.409,2508.693,56.468,2775.256,5361.976,3560.496,1290.786,2353.51,32.967,5158.818,
Wales,2019,2019,202.882,2475.963,57.389,2871.17,5488.88,3668.017,1351.539,2311.886,34.02,5306.25,
Northern Ireland,2006,2006,103.52,1009.112,36.101,918.428,1247.187,1039.206,193.876,1025.835,12.183,1227.005,
Northern Ireland,2007,2007,101.116,992.366,34.793,914.885,1363.525,1079.605,207.31,1095.047,13.187,1393.151,
Northern Ireland,2008,2008,99.29,982.946,33.936,937.379,1444.633,1088.539,220.112,1151.082,12.986,1533.576,
Northern Ireland,2009,2009,96.01,983.391,32.37,967.091,1516.524,1097.418,232.986,1177.36,13.548,1652.093,
Northern Ireland,2010,2010,94.858,991.683,30.656,1019.623,1594.948,1124.058,249.446,1191.816,14.422,1761.303,
Northern Ireland,2011,2011,93.385,1002.082,31.753,1059.095,1640.468,1154.144,273.633,1222.804,15.556,1837.652,
Northern Ireland,2012,2012,92.274,996.158,31.003,1107.683,1689.156,1187.657,299.842,1239.085,16.553,1900.886,
Northern Ireland,2013,2013,90,978,30,1150,1728,1218,334,1239,16,1954,
Northern Ireland,2014,2014,88,961,29,1190,1770,1234,366,1229,16,1988,
Northern Ireland,2015,2015,82,940,28,1230,1799,1255,394,1202,16,2035,
Northern Ireland,2016,2016,79.549,926.339,27.546,1276.939,1833.523,1285.802,427.199,1179.272,16.025,2083.123,
Northern Ireland,2017,2017,75.4,908.213,26.686,1311.772,1853.923,1304.221,453.89,1152.903,16.139,2130.435,
Northern Ireland,2018,2018,72.467,895.521,26.367,1351.165,1897.824,1339.715,477.363,1136.982,17.089,2179.828,
Northern Ireland,2019,2019,69.957,898.179,25.493,1394.763,1957.445,1386.919,502.002,1123.805,18.283,2237.168,
Scotland,2006/07,2006,314.532,3810.415,85.312,2939.732,4126.551,3625.076,645.58,3545.434,37.877,4080.935,
Scotland,2007/08,2007,304.722,3680.15,80.76,2853.192,4461.864,3665.736,676.259,3651.941,39.454,4376.477,
Scotland,2008/09,2008,295.833,3597.049,77.448,2850.162,4693.27,3682.578,706.604,3743.41,41.098,4623.578,
Scotland,2009/10,2009,291.416,3544.123,72.708,2883.466,4874.505,3713.966,743.13,3723.682,42.139,4826.463,
Scotland,2010/11,2010,283.201,3457.14,70.491,2908.891,4964.623,3697.113,773.285,3576.505,42.762,4874.704,
Scotland,2011/12,2011,276,3382,71,2957,5045,3699,819,3506,44,4861,
Scotland,2012/13,2012,268.79,3268.798,68.62,2997.725,5095.183,3716.242,883.857,3404.272,46.67,4906.524,
Scotland,2013/14,2013,259.869,3154.492,68.043,3048.171,5160.135,3735.012,957.977,3295.404,46.818,4976.701,
Scotland,2014/15,2014,252,3057,67,3102,5220,3738,1035,3218,47,5024,
Scotland,2015/16,2015,246,2942,66,3150,5223,3750,1108,3108,48,5002,
Scotland,2016/17,2016,240.984,2847.835,66.335,3197.23,5218.241,3739.853,1158.588,3029.794,47.472,4988.695,
Scotland,2017/18,2017,236.069,2740.078,65.448,3234.662,5186.728,3721.904,1197.471,2926.06,46.803,5003.1,
Scotland,2018/19,2018,227.52,2642.791,65.006,3276.754,5184.696,3718.49,1230.845,2845.276,48.692,5008.695,
Scotland,2019/20,2019,227.806,2626.061,66.499,3413.895,5354.989,3842.146,1290.025,2847.336,51.027,5172.515,
